poller-1  | [poller] devices=2 interval=30s limit=50
poller-1  | [poller] 2026-04-14T12:56:20+00:00 ip=192.168.56.21 cpu=0
poller-1  | [poller] 2026-04-14T12:56:50+00:00 ip=192.168.56.20 cpu=0
poller-1  | [poller] 2026-04-14T12:56:50+00:00 ip=192.168.56.21 cpu=0
poller-1  | [poller] 2026-04-14T12:57:20+00:00 ip=192.168.56.20 cpu=0
poller-1  | [poller] 2026-04-14T12:57:20+00:00 ip=192.168.56.21 cpu=0
poller-1  | [poller] 2026-04-14T12:57:50+00:00 ip=192.168.56.20 cpu=0
poller-1  | [poller] 2026-04-14T12:57:50+00:00 ip=192.168.56.21 cpu=0
poller-1  | [poller] 2026-04-14T12:58:20+00:00 ip=192.168.56.20 cpu=0
poller-1  | [poller] 2026-04-14T12:58:20+00:00 ip=192.168.56.21 cpu=0
poller-1  | [poller] 2026-04-14T12:58:50+00:00 ip=192.168.56.20 cpu=0
poller-1  | [poller] 2026-04-14T12:58:50+00:00 ip=192.168.56.21 cpu=0
poller-1  | [poller] 2026-04-14T12:59:20+00:00 ip=192.168.56.20 cpu=0
poller-1  | [poller] 2026-04-14T12:59:20+00:00 ip=192.168.56.21 cpu=0
poller-1  | [poller] 2026-04-14T12:59:50+00:00 ip=192.168.56.20 cpu=0
poller-1  | [poller] 2026-04-14T12:59:50+00:00 ip=192.168.56.21 cpu=0
